"Word"	"Pinyin"	"Level"	"First Translation"	"Other Translations"	"Parent"
"太太"	"tàitai"	"2"	"married woman"	"Mrs., Madam, wife, CL:個|个[ge4],位[wei4]"	""
"兒"	"er2 r5"	"2"	"child"	"son, non-syllabic diminutive suffix, retroflex final"	"女兒 (nǚér)"
"女兒"	"nǚér"	"2"	"daughter"	""	""
"兒子"	"érzi"	"2"	"son"	""	""
"大家"	"dàjiā"	"2"	"everyone"	"influential family, great expert"	""
"路"	"lù"	"2"	"surname Lu"	"road, CL:條|条[tiao2], journey, route, line (bus etc), sort, kind"	""
"手"	"shǒu"	"2"	"hand"	"(formal) to hold, person engaged in certain types of work, person skilled in certain types of work, personal(ly), convenient, classifier for skill, CL:雙|双[shuang1],隻|只[zhi1]"	"手機 (shǒujī)"
"機"	"ji1"	"2"	"surname Ji"	"machine, engine, opportunity, intention, aircraft, pivot, crucial point, flexible (quick-witted), organic, CL:臺|台[tai2]"	"手機 (shǒujī)"
"手機"	"shǒujī"	"2"	"cell phone"	"mobile phone, CL:部[bu4],支[zhi1]"	""
"號"	"hào"	"2"	"roar"	"cry, CL:個|个[ge4], ordinal number, day of a month, mark, sign, business establishment, size, ship suffix, horn (wind instrument), bugle call, assumed name, to take a pulse, classifier used to indicate number of people"	"號碼 (hàomǎ)"
"碼"	"ma3"	"2"	"weight"	"number, code, to pile, to stack, classifier for length or distance (yard), happenings etc"	"號碼 (hàomǎ)"
"號碼"	"hàomǎ"	"2"	"number"	"CL:堆[dui1],個|个[ge4]"	""
"明年"	"míngnián"	"2"	"next year"	""	""
"去年"	"qùnián"	"2"	"last year"	""	""
"生日"	"shēngrì"	"2"	"birthday"	"CL:個|个[ge4]"	""
"月"	"yuè"	"2"	"moon"	"month, monthly, CL:個|个[ge4],輪|轮[lun2]"	""
"星"	"xing1"	"2"	"star"	"heavenly body, satellite, small amount"	"星期 (xīngqí)"
"期"	"qí"	"2"	"variant of 期[qi1]"	"period, cycle, a period of time, phase, stage, classifier for issues of a periodical, courses of study, time, term, period, to hope, Taiwan pr. [qi2]"	"星期 (xīngqí)"
"星期"	"xīngqí"	"2"	"week"	"CL:個|个[ge4], day of the week, Sunday"	""
"星期天"	"xīngqítiān"	"2"	"Sunday"	"CL:個|个[ge4]"	""
"週"	"zhou1"	"2"	"week"	"weekly, variant of 周[zhou1]"	"週末 (zhōumò)"
"末"	"mò"	"2"	"tip"	"end, final stage, latter part, inessential detail, powder, dust, opera role of old man"	"週末 (zhōumò)"
"週末"	"zhōumò"	"2"	"weekend"	""	""
"從"	"cóng"	"2"	"surname Cong"	"from, through, via, to follow, to obey, to engage in (an activity), never (in negative sentence), (Taiwan pr. [zong4]) retainer, assistant, auxiliary, subordinate, related by common paternal grandfather or earlier ancestor"	""
"笑"	"xiào"	"2"	"old variant of 笑[xiao4]"	"laugh, smile, CL:個|个[ge4]"	""
"愛"	"ài"	"2"	"to love"	"to be fond of, to like, affection, to be inclined (to do sth), to tend to (happen)"	""
"好看"	"hǎokàn"	"2"	"good-looking"	"nice-looking, good (of a movie, book, TV show etc), embarrassed, humiliated"	""
"快"	"kuài"	"2"	"rapid"	"quick, speed, rate, soon, almost, to make haste, clever, sharp (of knives or wits), forthright, plainspoken, gratified, pleased, pleasant"	"快樂 (kuàilè)"
"樂"	"lè"	"2"	"surname Le"	"surname Yue, happy, cheerful, to laugh, music"	"快樂 (kuàilè)"
"快樂"	"kuàilè"	"2"	"happy"	"merry"	""
"非"	"fēi"	"2"	"abbr. for 非洲[Fei1 zhou1], Africa"	"to not be, not, wrong, incorrect, non-, un-, in-, to reproach or blame, (colloquial) to insist on, simply must"	"非常 (fēicháng)"
"常"	"cháng"	"2"	"surname Chang"	"always, ever, often, frequently, common, general, constant"	"非常 (fēicháng)"
"非常"	"fēicháng"	"2"	"very"	"very much, unusual, extraordinary"	""
"工"	"gong1"	"2"	"work"	"worker, skill, profession, trade, craft, labor"	"工作 (gōngzuò)"
"作"	"zuò"	"2"	"worker"	"workshop, (slang) troublesome, high-maintenance (person), to do, to grow, to write or compose, to pretend, to regard as, to feel, writings or works"	"工作 (gōngzuò)"
"工作"	"gōngzuò"	"2"	"to work"	"(of a machine) to operate, job, work, task, CL:個|个[ge4],份[fen4],項|项[xiang4]"	""
"醫"	"yī"	"2"	"medical"	"medicine, doctor, to cure, to treat"	"醫生 (yīshēng)"
"醫生"	"yīshēng"	"2"	"doctor"	"CL:個|个[ge4],位[wei4],名[ming2]"	""
"院"	"yuan4"	"2"	"courtyard"	"institution, CL:個|个[ge4]"	"醫院 (yīyuàn)"
"醫院"	"yīyuàn"	"2"	"hospital"	"CL:所[suo3],家[jia1],座[zuo4]"	""
"司"	"si1"	"2"	"surname Si"	"to take charge of, to manage, department (under a ministry)"	"公司 (gōngsī)"
"公司"	"gōngsī"	"2"	"(business) company"	"company, firm, corporation, incorporated, CL:家[jia1]"	""
"賣"	"mài"	"2"	"to sell"	"to betray, to spare no effort, to show off or flaunt"	""
"準"	"zhŭn"	"2"	"accurate"	"standard, definitely, certainly, about to become (bride, son-in-law etc), quasi-, para-"	"準備 (zhǔnbèi)"
"備"	"bèi"	"2"	"to prepare"	"get ready, to provide or equip"	"準備 (zhǔnbèi)"
"準備"	"zhǔnbèi"	"2"	"preparation"	"to prepare, to intend, to be about to, reserve (fund)"	""
"一點"	"yīdiǎn"	"2"	"a bit"	"a little, one dot, one point"	""
"些"	"xie1"	"2"	"some"	"few, several, measure word indicating a small amount or small number (greater than 1)"	"一些 (yīxiē)"
"一些"	"yīxiē"	"2"	"some"	"a few, a little, (following an adjective) slightly ...er"	""
"張"	"zhāng"	"2"	"surname Zhang"	"to open up, to spread, sheet of paper, classifier for flat objects, sheet, classifier for votes"	""
"中學"	"zhōngxué"	"2"	"middle school"	"CL:個|个[ge4]"	""
"級"	"jí"	"2"	"level"	"grade, rank, step (of stairs), CL:個|个[ge4], classifier: step, level"	"年級 (niánjí)"
"年級"	"niánjí"	"2"	"grade"	"year (in school, college etc), CL:個|个[ge4]"	""
"英"	"ying1"	"2"	"United Kingdom"	"British, England, English, abbr. for 英國|英国[Ying1 guo2], hero, outstanding, excellent, (literary) flower, blossom"	"英文 (yīngwén)"
"文"	"wen2"	"2"	"surname Wen"	"language, culture, writing, formal, literary, gentle, (old) classifier for coins, Kangxi radical 67"	"英文 (yīngwén)"
"英文"	"yīngwén"	"2"	"English (language)"	""	""
"紙"	"zhǐ"	"2"	"paper"	"CL:張|张[zhang1],沓[da2], classifier for documents, letter etc"	""
"題"	"tí"	"2"	"surname Ti"	"topic, problem for discussion, exam question, subject, to inscribe, to mention, CL:個|个[ge4],道[dao4]"	"問題 (wèntí)"
"問題"	"wèntí"	"2"	"question"	"problem, issue, topic, CL:個|个[ge4]"	""
"意"	"yi4"	"2"	"Italy"	"Italian, abbr. for 意大利[Yi4 da4 li4], idea, meaning, thought, to think, wish, desire, intention, to expect, to anticipate"	"意思 (yìsi)"
"思"	"si1"	"2"	"to think"	"to consider"	"意思 (yìsi)"
"意思"	"yìsi"	"2"	"idea"	"opinion, meaning, wish, desire, interest, fun, token of appreciation, affection etc, CL:個|个[ge4], to give as a small token, to do sth as a gesture of goodwill etc"	""
"圖"	"tú"	"2"	"diagram"	"picture, drawing, chart, map, CL:張|张[zhang1], to plan, to scheme, to attempt, to pursue, to seek"	"圖書館 (túshūguǎn)"
"館"	"guan3"	"2"	"building"	"shop, term for certain service establishments, embassy or consulate, schoolroom (old), CL:家[jia1]"	"圖書館 (túshūguǎn)"
"圖書館"	"túshūguǎn"	"2"	"library"	"CL:家[jia1],個|个[ge4]"	""
"數"	"shù"	"2"	"to count"	"to count as, to regard as, to enumerate (sb's shortcomings), number, figure, several, CL:個|个[ge4], frequently, repeatedly"	"數學 (shùxué)"
"數學"	"shùxué"	"2"	"mathematics"	"mathematical"	""
"歷"	"li4"	"2"	"to experience"	"to undergo, to pass through, all, each, every, history"	"歷史 (lìshĭ)"
"史"	"shi3"	"2"	"surname Shi"	"history, annals, title of an official historian in ancient China"	"歷史 (lìshĭ)"
"歷史"	"lìshĭ"	"2"	"history"	"CL:門|门[men2],段[duan4]"	""
"餐"	"cān"	"2"	"meal"	"to eat, classifier for meals"	"餐廳 (cāntīng)"
"廳"	"ting1"	"2"	"(reception) hall"	"living room, office, provincial government department"	"餐廳 (cāntīng)"
"餐廳"	"cāntīng"	"2"	"dining hall"	"dining room, restaurant, CL:間|间[jian1],家[jia1]"	""
"學習"	"xuéxí"	"2"	"to learn"	"to study"	""
"參"	"san1 can1 shen1"	"2"	"three (banker's anti-fraud numeral)"	"to take part in, to participate, to join, to attend, to counsel, unequal, varied, irregular, uneven, not uniform, abbr. for 參議院|参议院 Senate, Upper House, ginseng, one of the 28 constellations"	"參加 (cānjiā)"
"加"	"jiā"	"2"	"abbr. for Canada 加拿大[Jia1 na2 da4]"	"surname Jia, to add, plus, (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned), to apply (restrictions etc) to (sb), to give (support, consideration etc) to (sth)"	"參加 (cānjiā)"
"參加"	"cānjiā"	"2"	"to participate"	"to take part, to join"	""
"畫"	"huà"	"2"	"to draw"	"picture, painting, CL:幅[fu2],張|张[zhang1], classifier for paintings etc, variant of 劃|划[hua4]"	""
"讀"	"dú"	"2"	"comma"	"phrase marked by pause, to read, to study, reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]"	""
"會"	"huì"	"2"	"can"	"to be possible, to be able to, will, to be likely to, to be sure to, to assemble, to meet, to gather, to see, union, group, association, CL:個|个[ge4], a moment (Taiwan pr. for this sense is [hui3]), to balance an account, accountancy, accounting"	""
"趣"	"qu4"	"2"	"interesting"	"to interest"	"有趣 (yǒuqù)"
"有趣"	"yǒuqù"	"2"	"interesting"	"fascinating, amusing"	""
"為"	"wéi"	"2"	"as (in the capacity of)"	"to take sth as, to act as, to serve as, to behave as, to become, to be, to do, by (in the passive voice), because of, for, to"	"為什麼 (wèishénme)"
"為什麼"	"wèishénme"	"2"	"why?"	"for what reason?"	""
"下課"	"xiàkè"	"2"	"to finish class"	"to get out of class"	""
"說話"	"shuōhuà"	"2"	"to speak"	"to say, to talk, to gossip, to tell stories, talk, word"	""
"考"	"kǎo"	"2"	"to beat"	"to hit, variant of 考[kao3], to inspect, to test, to take an exam, to check, to verify, to test, to examine, to take an exam, to take an entrance exam for, deceased father"	"考試 (kǎoshì)"
"試"	"shì"	"2"	"to test"	"to try, experiment, examination, test"	"考試 (kǎoshì)"
"考試"	"kǎoshì"	"2"	"to take an exam"	"exam, CL:次[ci4]"	""
"懂"	"dǒng"	"2"	"to understand"	"to comprehend"	""
"氣"	"qì"	"2"	"gas"	"air, smell, weather, to make angry, to annoy, to get angry, vital energy, qi"	"天氣 (tiānqì)"
"天氣"	"tiānqì"	"2"	"weather"	""	""
"房"	"fang2"	"2"	"surname Fang"	"house, room, CL:間|间[jian1], branch of an extended family, classifier for family members (or concubines)"	"房子 (fángzi)"
"房子"	"fángzi"	"2"	"house"	"building (single- or two-story), apartment, room, CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4],間|间[jian1]"	""
"門"	"mén"	"2"	"surname Men"	"gate, door, CL:扇[shan4], gateway, doorway, CL:個|个[ge4], opening, valve, switch, way to do something, knack, family, house, (religious) sect, school (of thought), class, category, phylum or division (taxonomy), classifier for large guns, classifier for lessons, subjects, branches of technology, (suffix) -gate (i.e. scandal; derived from Watergate)"	""
"山"	"shān"	"2"	"surname Shan"	"mountain, hill, anything that resembles a mountain, CL:座[zuo4], bundled straw in which silkworms spin cocoons, gable"	""
"客"	"ke4"	"2"	"customer"	"visitor, guest"	"客廳 (kètīng)"
"客廳"	"kètīng"	"2"	"drawing room (room for arriving guests)"	"living room, CL:間|间[jian1]"	""
"河"	"hé"	"2"	"river"	"CL:條|条[tiao2],道[dao4]"	""
"狗"	"gǒu"	"2"	"dog"	"CL:隻|只[zhi1],條|条[tiao2]"	""
"花"	"huā"	"2"	"variant of 花[hua1]"	"flower, blossom, also pr. [wei3]"	""
"風"	"fēng"	"2"	"wind"	"news, style, custom, manner, CL:陣|阵[zhen4],絲|丝[si1]"	""
"海"	"hǎi"	"2"	"surname Hai"	"ocean, sea, CL:個|个[ge4],片[pian4], great number of people or things, (dialect) numerous"	""
"魚"	"yú"	"2"	"surname Yu"	"fish, CL:條|条[tiao2],尾[wei3]"	""
"樹"	"shù"	"2"	"tree"	"CL:棵[ke1], to cultivate, to set up"	""
"冷"	"lěng"	"2"	"surname Leng"	"cold"	""
"熱"	"rè"	"2"	"to warm up"	"to heat up, hot (of weather), heat, fervent"	""
"洗"	"xǐ"	"2"	"to wash"	"to bathe, to develop (photo)"	"洗澡 (xǐzǎo)"
"澡"	"zao3"	"2"	"bath"	""	"洗澡 (xǐzǎo)"
"洗澡"	"xǐzǎo"	"2"	"to bathe"	"to take a shower"	""
"咖"	"ka1"	"2"	"coffee"	"class, grade"	"咖啡 (kāfēi)"
"啡"	"fei1"	"2"	"(phonetic component)"	""	"咖啡 (kāfēi)"
"咖啡"	"kāfēi"	"2"	"coffee (loanword)"	"CL:杯[bei1]"	""
"茶"	"chá"	"2"	"tea"	"tea plant, CL:杯[bei1],壺|壶[hu2]"	""
"活"	"huó"	"2"	"to live"	"alive, living, work, workmanship"	"生活 (shēnghuó)"
"生活"	"shēnghuó"	"2"	"life"	"activity, to live, livelihood"	""
"用"	"yòng"	"2"	"to use"	"to employ, to have to, to eat or drink, expense or outlay, usefulness, hence, therefore"	""
"穿"	"chuān"	"2"	"to wear"	"to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread"	""
"床"	"chuáng"	"2"	"variant of 床[chuang2]"	""	"起床 (qǐchuáng)"
"起床"	"qǐchuáng"	"2"	"to get out of bed"	"to get up"	""
"方"	"fāng"	"2"	"surname Fang"	"square, power or involution (mathematics), upright, honest, fair and square, direction, side, party (to a contract, dispute etc), place, method, prescription (medicine), just when, only or just, classifier for square things, abbr. for square or cubic meter"	"方便 (fāngbiàn)"
"方便"	"fāngbiàn"	"2"	"convenient"	"suitable, to facilitate, to make things easy, having money to spare, (euphemism) to relieve oneself"	""
"睡"	"shuì"	"2"	"to sleep"	"to lie down"	"睡覺 (shuìjiào)"
"睡覺"	"shuìjiào"	"2"	"to go to bed"	"to sleep"	""
"常常"	"chángcháng"	"2"	"frequently"	"often"	""
"每"	"měi"	"2"	"each"	"every"	""
"次"	"cì"	"2"	"next in sequence"	"second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time"	""
"音"	"yīn"	"2"	"sound"	"noise, note (of musical scale), tone, news, syllable, reading (phonetic value of a character)"	"音樂 (yīnyuè)"
"音樂"	"yīnyuè"	"2"	"music"	"CL:張|张[zhang1],曲[qu3],段[duan4]"	""
"票"	"piào"	"2"	"ticket"	"ballot, banknote, CL:張|张[zhang1], person held for ransom, amateur performance of Chinese opera, classifier for groups, batches, business transactions"	""
"照"	"zhào"	"2"	"surname Zhao"	"variant of 照[zhao4], to shine, to illuminate, according to, in accordance with, to shine, to illuminate, to reflect, to look at (one's reflection), to take (a photo), photo, as requested, as before"	"照片 (zhàopiàn)"
"片"	"piàn"	"2"	"disk"	"sheet, thin piece, flake, a slice, film, TV play, to slice, to carve thin, partial, incomplete, one-sided, classifier for slices, tablets, tract of land, area of water, classifier for CDs, movies, DVDs etc, used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc"	"照片 (zhàopiàn)"
"照片"	"zhàopiàn"	"2"	"photograph"	"picture, CL:張|张[zhang1],套[tao4],幅[fu2]"	""
"玩"	"wán"	"2"	"variant of 玩[wan2]"	"Taiwan pr. [wan4]"	""
"跑"	"pǎo"	"2"	"(of an animal) to paw (the ground)"	"to run, to run away, to escape, to run around (on errands etc), (of a gas or liquid) to leak or evaporate, (verb complement) away, off"	""
"運"	"yùn"	"2"	"to move"	"to transport, to use, to apply, fortune, luck, fate"	"運動 (yùndòng)"
"動"	"dòng"	"2"	"(of sth) to move"	"to set in movement, to displace, to touch, to make use of, to stir (emotions), to alter, abbr. for 動詞|动词[dong4 ci2], verb"	"運動 (yùndòng)"
"運動"	"yùndòng"	"2"	"to move"	"to exercise, sports, exercise, motion, movement, campaign, CL:場|场[chang3]"	""
"始"	"shi3"	"2"	"to begin"	"to start, then, only then"	"開始 (kāishǐ)"
"開始"	"kāishǐ"	"2"	"to begin"	"beginning, to start, initial, CL:個|个[ge4]"	""
"走路"	"zǒulù"	"2"	"to walk"	"to go on foot"	""
"唱"	"chàng"	"2"	"to sing"	"to call loudly, to chant"	"唱歌 (chànggē)"
"歌"	"gē"	"2"	"variant of 歌[ge1]"	""	"唱歌 (chànggē)"
"唱歌"	"chànggē"	"2"	"to sing a song"	""	""
"信"	"xìn"	"2"	"letter"	"mail, CL:封[feng1], to trust, to believe, to profess faith in, truthful, confidence, trust, at will, at random"	""
"喂"	"wéi"	"2"	"to feed"	""	""
"介"	"jie4"	"2"	"to introduce"	"to lie between, between, shell, armor"	"介紹 (jièshào)"
"紹"	"shao4"	"2"	"surname Shao"	"to continue, to carry on"	"介紹 (jièshào)"
"介紹"	"jièshào"	"2"	"to introduce (sb to sb)"	"to give a presentation, to present (sb for a job etc), introduction"	""
"換"	"huàn"	"2"	"to exchange"	"to change (clothes etc), to substitute, to switch, to convert (currency)"	""
"認"	"rèn"	"2"	"to recognize"	"to know, to admit"	"認識 (rènshi)"
"識"	"shi2 zhi4"	"2"	"to know"	"knowledge, Taiwan pr. [shi4], to record, to write a footnote"	"認識 (rènshi)"
"認識"	"rènshi"	"2"	"to know"	"to recognize, to be familiar with, to get acquainted with sb, knowledge, understanding, awareness, cognition"	""
"關"	"guān"	"2"	"surname Guan"	"mountain pass, to close, to shut, to turn off, to concern, to involve"	"沒關係 (méiguānxi)"
"係"	"xi4"	"2"	"to connect"	"to relate to, to tie up, to bind, to be (literary), system, department, faculty"	"沒關係 (méiguānxi)"
"沒關係"	"méiguānxi"	"2"	"it doesn't matter"	""	""
"怎麼"	"zěnme"	"2"	"how?"	"what?, why?"	""
"哪"	"nǎ"	"2"	"how"	"which, (particle equivalent to 啊 after noun ending in -n), which? (interrogative, followed by classifier or numeral-classifier)"	""
"裡"	"lĭtou"	"2"	"lining"	"interior, inside, internal, also written 裏|里[li3], Li (surname), li, ancient measure of length, approx. 500 m, neighborhood, ancient administrative unit of 25 families, (Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels"	"哪裡 (nǎlǐ)"
