"Pinyin","AllWords","Definitions"
"bēi","杯, 碑","杯 cup, trophy cup, classifier for certain containers of liquids: glass, cup, trophy cup, classifier for certain containers of liquids: glass, cup, variant of 杯[bei1], variant of 杯[bei1]
碑 a monument, an upright stone tablet, stele, CL:塊|块[kuai4],面[mian4]"
"píng","瓶, 坪, 憑","瓶 bottle, vase, pitcher, classifier for wine and liquids, CL:個|个[ge4], variant of 瓶[ping2]
坪 a plain, ping, unit of area equal to approx. 3.3058 square meters (used in Japan and Taiwan)
憑 to lean against, to rely on, on the basis of, no matter (how, what etc), proof"
"cài","菜","菜 dish (type of food), vegetable, cuisine, (coll.) (one's) type, (of one's skills etc) weak, poor, CL:盤|盘[pan2],道[dao4]"
"píngguǒ","蘋果","蘋果 apple, CL:個|个[ge4],顆|颗[ke1]"
"ròu","肉","肉 meat, flesh, pulp (of a fruit), (coll.) (of a fruit) squashy, (of a person) flabby, irresolute"
"hē","喝","喝 to drink, My goodness!, to shout loudly"
"yīqǐ","一起","一起 in the same place, together, with, altogether (in total)"
"yīnwèi","因為","因為 because, owing to, on account of"
"suǒyǐ","所以","所以 therefore, as a result, so, the reason why"
"gēn","跟, 根","跟 heel, to follow closely, to go with, (of a woman) to marry sb, with, compared with, to, towards, and (joining two nouns)
根 root, basis, classifier for long slender objects, e.g. cigarettes, guitar strings, radical (chemistry), CL:條|条[tiao2]"
"zhe","著","著 (chess) move, trick, all right!, (dialect) to add, to touch, to come in contact with, to feel, to be affected by, to catch fire, to burn, (coll.) to fall asleep, (after a verb) hitting the mark, succeeding in, aspect particle indicating action in progress, to wear (clothes), to contact, to use, to apply, to make known, to show, to prove, to write, book, outstanding"
"kěnéng","可能","可能 might (happen), possible, probable, possibility, probability, maybe, perhaps, CL:個|个[ge4]"
"xìngmíng","姓名","姓名 name and surname, CL:個|个[ge4]"
"gōngyuán","公園, 公元","公園 park (for public recreation), CL:個|个[ge4],座[zuo4]
公元 CE (Common Era), Christian Era, AD (Anno Domini)"
"guójiā","國家","國家 country, nation, state, CL:個|个[ge4]"
"chéngshì","城市, 程式","城市 city, town, CL:座[zuo4]
程式 form, pattern, formula, program"
"jiē","街, 接, 皆","街 street, CL:條|条[tiao2]
接 to receive, to answer (the phone), to meet or welcome sb, to connect, to catch, to join, to extend, to take one's turn on duty, to take over for sb
皆 all, each and every, in all cases"
"diàn​zǐ​yóu​jiàn","電子郵件","電子郵件 email, CL:封[feng1],份[fen4]"
"jiéhūn","結婚","結婚 to marry, to get married, CL:次[ci4]"
"xiǎoshí","小時","小時 hour, CL:個|个[ge4]"
"diǎnzhōng","點鐘","點鐘 (indicating time of day) o'clock"
"fēnzhōng","分鐘","分鐘 minute"
"xiàtiān","夏天","夏天 summer, CL:個|个[ge4]"
"dōngtiān","冬天","冬天 winter, CL:個|个[ge4]"
"qiūtiān","秋天","秋天 autumn, CL:個|个[ge4]"
"chūntiān","春天","春天 spring (season), CL:個|个[ge4]"
"niánqīng","年輕","年輕 young"
"nánshēng","男生","男生 schoolboy, male student, boy, guy (young adult male)"
"nǚshēng","女生","女生 schoolgirl, female student, girl"
"xiǎohái","小孩","小孩 child, CL:個|个[ge4]"
"jiārén","家人, 佳人","家人 household, (one's) family
佳人 beautiful woman"
"jǐnzhāng","緊張","緊張 nervous, keyed up, intense, tense, strained, in short supply, scarce, CL:陣|阵[zhen4]"
"kěài","可愛","可愛 adorable, cute, lovely"
"pàng","胖","胖 healthy, at ease, fat, plump"
"ǎi","矮, 欸","矮 low, short (in length)
欸 sigh, exclamation Eh!"
"shòu","瘦","瘦 thin, to lose weight, (of clothing) tight, (of meat) lean, (of land) unproductive"
"qiān","千, 牽, 遷","千 thousand, see 鞦韆|秋千[qiu1 qian1]
牽 to lead along, to pull (an animal on a tether), (bound form) to involve, to draw in
遷 to move, to shift, to change (a position or location etc), to promote"
"wàn","萬","萬 ten thousand, a great number, surname Wan"
"bàngōngshì","辦公室","辦公室 office, business premises, bureau, CL:間|间[jian1]"
"gōngchǎng","工廠","工廠 factory, CL:家[jia1],座[zuo4]"
"gōngrén","工人","工人 worker, CL:個|个[ge4],名[ming2]"
"hùshì","護士","護士 nurse, CL:個|个[ge4]"
"sījī","司機","司機 chauffeur, driver, CL:個|个[ge4]"
"lǎobǎn","老闆","老闆 Robam (brand), boss, business proprietor, CL:個|个[ge4]"
"tóngshì","同事","同事 colleague, co-worker, CL:個|个[ge4],位[wei4]"
"shàngbān","上班","上班 to go to work, to be on duty, to start work, to go to the office"
"xiǎoxué","小學","小學 elementary school, primary school, CL:個|个[ge4]"
"shàngxué","上學","上學 to go to school, to attend school"
"zuòyè","作業","作業 school assignment, homework, work, task, operation, to operate, CL:個|个[ge4]"
"gōngkè","功課, 公克","功課 homework, assignment, task, classwork, lesson, study, CL:門|门[men2]
公克 gram"
"qǐngjià","請假","請假 to request leave of absence"
"jiàoshì","教室","教室 classroom, CL:間|间[jian1]"
"xǐshǒujiān","洗手間","洗手間 toilet, lavatory, washroom"
"yǔyán","語言","語言 language, CL:門|门[men2],種|种[zhong3]"
"kēxué","科學","科學 science, scientific knowledge, scientific, rational, CL:門|门[men2],個|个[ge4],種|种[zhong3]"
"huáyǔ","華語","華語 Chinese language"
"hēibǎn","黑板","黑板 blackboard, CL:塊|块[kuai4],個|个[ge4]"
"kèběn","課本","課本 textbook, CL:本[ben3]"
"jùzi","句子","句子 sentence, CL:個|个[ge4]"
"zhùyì","注意","注意 to take note of, to pay attention to"
"dúshū","讀書","讀書 to read a book, to study, to attend school"
"huídá","回答","回答 to reply, to answer, the answer, CL:個|个[ge4]"
"xiūxí","休息","休息 rest, to rest"
"juédìng","決定","決定 to decide (to do something), to resolve, decision, certainly, CL:個|个[ge4],項|项[xiang4]"
"túpiàn","圖片","圖片 image, picture, photograph, CL:張|张[zhang1]"
"jìde","記得","記得 to remember"
"fángjiān","房間","房間 room, CL:間|间[jian1],個|个[ge4]"
"chúfáng","廚房","廚房 kitchen, CL:間|间[jian1]"
"chuānghu","窗","窗 shutter, window, old variant of 窗[chuang1], variant of 窗[chuang1], variant of 窗[chuang1], CL:扇[shan4], variant of 窗[chuang1]"
"lóu","樓, 嘍","樓 house with more than 1 story, storied building, floor, surname Lou, CL:層|层[ceng2],座[zuo4],棟|栋[dong4]
嘍 subordinates in gang of bandits, (final particle equivalent to 了[le5]), (particle calling attention to, or mildly warning of, a situation)"
"lóushàng","樓上","樓上 upstairs"
"lóuxià","樓下","樓下 downstairs"
"diàntī","電梯","電梯 elevator, escalator, CL:臺|台[tai2],部[bu4]"
"jiājù","家具","家具 furniture, CL:件[jian4],套[tao4]"
"yǐzi","椅子","椅子 chair, CL:把[ba3],套[tao4]"
"zhuō","桌, 捉","桌 table, desk, classifier for tables of guests at a banquet etc, old variant of 桌[zhuo1]
捉 to clutch, to grab, to capture"
"shāfā","沙發","沙發 sofa (loanword), (Internet slang) the first reply or replier to a forum post, CL:條|条[tiao2],張|张[zhang1]"
"lěngqì","冷氣","冷氣 air conditioning (Tw)"
"ānjìng","安靜","安靜 quiet, peaceful, calm"
"bùcuò","不錯","不錯 correct, right, not bad, pretty good"
"hǎibiān","海邊","海邊 coast, seaside, seashore, beach"
"hú","湖, 壺","湖 lake, CL:個|个[ge4],片[pian4]
壺 pot, classifier for bottled liquid"
"mǎ","馬","馬 horse, horse or cavalry piece in Chinese chess, knight in Western chess, surname Ma, abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4], CL:匹[pi3]"
"niǎo","鳥","鳥 penis, bird, (dialect) to pay attention to, (intensifier) damned, goddam, variant of 屌[diao3], CL:隻|只[zhi1],群[qun2]"
"māo","貓","貓 cat, (dialect) to hide oneself, (coll.) modem, CL:隻|只[zhi1]"
"jī","雞","雞 fowl, chicken, (slang) prostitute, CL:隻|只[zhi1]"
"tàiyáng","太陽","太陽 sun, CL:個|个[ge4], abbr. for 太陽穴|太阳穴[tai4 yang2 xue2]"
"xiàyǔ","下雨","下雨 to rain"
"xiàxuě","下雪","下雪 to snow"
"xīnnián","新年","新年 New Year, CL:個|个[ge4]"
"yóuyǒng","游泳","游泳 swimming, to swim"
"tī","踢","踢 to kick, to play (e.g. soccer), (slang) butch (in a lesbian relationship)"
"zúqiú","足球","足球 soccer ball, a football, soccer, football, CL:個|个[ge4]"
"lánqiú","籃球","籃球 basketball, CL:個|个[ge4],隻|只[zhi1]"
"wǎngqiú","網球","網球 tennis, tennis ball, CL:個|个[ge4]"
"bàngqiú","棒球","棒球 baseball, CL:個|个[ge4],隻|只[zhi1]"
"bǐsài","比賽","比賽 competition (sports etc), match, to compete, CL:場|场[chang3],次[ci4]"
"qí","騎, 棋","騎 (Taiwan) saddle horse, mounted soldier, to ride (an animal or bike), to sit astride, classifier for saddle-horses
棋 chess, chess-like game, a game of chess, chess piece, variant of 棋[qi2], CL:盤|盘[pan2], CL:個|个[ge4],顆|颗[ke1], variant of 棋[qi2]"
"jiǎotàchē","腳踏車","腳踏車 bicycle, bike (Tw), CL:輛|辆[liang4]"
"pǎobù","跑步","跑步 to run, to jog, (military) to march at the double"
"diànyǐngyuàn","電影院","電影院 cinema, movie theater, CL:家[jia1],座[zuo4]"
"biǎoyǎn","表演","表演 play, show, performance, exhibition, to perform, to act, to demonstrate, CL:場|场[chang3]"
"shàngwǎng","上網","上網 to go online, to connect to the Internet, (of a document etc) to be uploaded to the Internet, (tennis, volleyball etc) to move in close to the net"
"yíng","贏","贏 to beat, to win, to profit"
"yǒushíhou","有時候","有時候 sometimes"
"bàozhǐ","報紙","報紙 newspaper, newsprint, CL:份[fen4],期[qi1],張|张[zhang1]"
"bùkèqì","不客氣","不客氣 you're welcome, don't mention it, impolite, rude, blunt"
"lǐwù","禮物","禮物 gift, present, CL:件[jian4],個|个[ge4],份[fen4]"
"huānyíng","歡迎","歡迎 to welcome, welcome"
"wǎnhuì","晚會","晚會 evening party, CL:個|个[ge4]"
"xìnfēng","信封","信封 envelope, CL:個|个[ge4]"
"jì","寄, 既, 暨","寄 to send, to mail, to entrust, to depend on, to attach oneself to, to live (in a house), to lodge, foster (son etc)
既 already, since, both... (and...)
暨 and, to reach to, the limits"
"yóujú","郵局","郵局 post office, CL:家[jia1],個|个[ge4]"
"yínháng","銀行","銀行 bank, CL:家[jia1],個|个[ge4]"
"jǐngchá","警察","警察 police, police officer, CL:個|个[ge4]"
"huài","壞","壞 bad, spoiled, broken, to break down, (suffix) to the utmost"
"bāngmáng","幫忙","幫忙 to help, to lend a hand, to do a favor, to do a good turn"
"jìchéngchē","計程車","計程車 taxi, cab (Tw)"
"chēzhàn","車站","車站 rail station, bus stop, CL:處|处[chu4],個|个[ge4]"
"huǒchē","火車","火車 train, CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]"
"fēijī","飛機","飛機 airplane, CL:架[jia4]"
"fēijīchǎng","飛機場","飛機場 airport, (slang) flat chest, CL:處|处[chu4]"
"mǎlù","馬路","馬路 street, road, CL:條|条[tiao2]"
"shízìlùkǒu","十字路口","十字路口 crossroads, intersection"
"duìmiàn","對面","對面 (sitting) opposite, across (the street), directly in front, to be face to face"
"lǐmiàn","裡面, 裏面","裡面 inside, interior, also pr. [li3 mian5]
裏面 "
"lǚxíng","旅行, 履行","旅行 to travel, journey, trip, CL:趟[tang4],次[ci4],個|个[ge4]
履行 to fulfill (one's obligations), to carry out (a task), to implement (an agreement), to perform"
"fàndiàn","飯店","飯店 restaurant, hotel, CL:家[jia1],個|个[ge4]"
"lǚguǎn","旅館","旅館 hotel, CL:家[jia1]"
"cānguān","參觀","參觀 to look around, to tour, to visit"
"dìtú","地圖","地圖 map, CL:張|张[zhang1],本[ben3]"
"zhàoxiàngjī","照相機","照相機 camera, CL:個|个[ge4],架[jia4],部[bu4],台[tai2],隻|只[zhi1]"
"zhàoxiàng","照相","照相 to take a photograph"
"fēngjǐng","風景","風景 scenery, landscape, CL:個|个[ge4]"
"tóu","頭, 投","頭 head, hair style, the top, end, beginning or end, a stub, remnant, chief, boss, side, aspect, first, leading, classifier for pigs or livestock, suffix for nouns, CL:個|个[ge4]
投 to cast, to send, to throw oneself (into the river etc), to seek refuge, to place oneself into the hands of"
"tóufǎ","頭髮","頭髮 hair (on the head)"
"ěrduo","耳朵","耳朵 ear, handle (on a cup), CL:隻|只[zhi1],個|个[ge4],對|对[dui4]"
"shǒuzhǐ","手指","手指 finger, CL:個|个[ge4],隻|只[zhi1]"
"dùzi","肚子","肚子 belly, abdomen, stomach, CL:個|个[ge4]"
"jiànkāng","健康","健康 health, healthy"
"gǎnmào","感冒","感冒 to catch cold, (common) cold, (coll.) to be interested in (often used in the negative), (Tw) to detest, can't stand, CL:場|场[chang2],次[ci4]"
"shēngbìng","生病","生病 to fall ill"
"shòushāng","受傷","受傷 to sustain injuries, wounded (in an accident etc), harmed"
"è","餓","餓 to be hungry, hungry, to starve (sb)"
"kě","渴","渴 thirsty"
"shūfu","舒服","舒服 comfortable, feeling well"
"yǎnjìng","眼鏡","眼鏡 spectacles, eyeglasses, CL:副[fu4]"
"tòng","痛","痛 ache, pain, sorrow, deeply, thoroughly"
"xīwàng","希望","希望 to wish for, to desire, hope, CL:個|个[ge4]"
"shāngdiàn","商店","商店 store, shop, CL:家[jia1],個|个[ge4]"
"zhòngyào","重要","重要 important, significant, major"
"gōngjīn","公斤","公斤 kilogram (kg)"
